"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,86.346,,
"LTU","Lithuania","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",38.005,,
"TUR","Turkey","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,97.552,,
"LVA","Latvia","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,126.933,,
"NOR","Norway","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,60.045,,
"LVA","Latvia","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,44.173,,
"ITA","Italy","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,72.901,,
"ISL","Iceland","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,184.073,,
"FIN","Finland","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,41.227,,
"USA","United States","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,44.952,,
"OECD","OECD - Total","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,66.368,"E; I","Estimated value; Incomplete data"
"LTU","Lithuania","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,33.433,,
"NLD","Netherlands","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,50.721,,
"JPN","Japan","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,61.451,,
"DNK","Denmark","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,76.846,,
"SVK","Slovak Republic","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,35.89,,
"ESP","Spain","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,14.159,,
"SWE","Sweden","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,38.328,,
"AUT","Austria","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,69.854,,
"NOR","Norway","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,68.376,,
"ESP","Spain","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,75.996,,
"JPN","Japan","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,69.363,,
"LTU","Lithuania","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,11.402,,
"FRA","France","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,45.808,,
"LTU","Lithuania","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,130.822,,
"EST","Estonia","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,31.773,,
"GRC","Greece","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,42.292,,
"POL","Poland","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,88.659,,
"AUS","Australia","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,48.554,,
"LTU","Lithuania","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,76.011,,
"TUR","Turkey","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,72.002,,
"ESP","Spain","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,62.556,,
"HUN","Hungary","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,64.084,,
"ITA","Italy","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,70.533,,
"FIN","Finland","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,61.317,,
"LVA","Latvia","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,69.601,,
"NOR","Norway","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,64.642,,
"CAN","Canada","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,106.761,,
"PRT","Portugal","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,67.589,,
"LTU","Lithuania","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",6.855,,
"LUX","Luxembourg","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,29.397,,
"TUR","Turkey","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,112.702,,
"ISR","Israel","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,20.74,,
"NZL","New Zealand","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,109.007,,
"DEU","Germany","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,55.542,,
"LVA","Latvia","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,81.196,,
"AUT","Austria","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,37.037,,
"SVN","Slovenia","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,51.969,,
"FIN","Finland","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,73.071,,
"LVA","Latvia","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,34.145,,
"OECDE","OECD - Europe","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,41.136,,
"SWE","Sweden","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,55.824,,
"NLD","Netherlands","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,72.001,,
"ITA","Italy","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,14.602,,
"IRL","Ireland","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,60.083,,
"ISL","Iceland","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,67.196,,
"SVK","Slovak Republic","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,17.332,,
"BEL","Belgium","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,54.848,,
"CHE","Switzerland","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,30.562,,
"LVA","Latvia","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",26.45,,
"GBR","United Kingdom","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,34.439,,
"DNK","Denmark","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,33.252,,
"CZE","Czech Republic","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,80.478,,
"AUT","Austria","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,71.053,,
"EST","Estonia","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,44.422,,
"JPN","Japan","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,64.526,,
"FIN","Finland","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,51.045,,
"AUS","Australia","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,145.097,,
"NOR","Norway","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,73.29,,
"SVK","Slovak Republic","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,38.736,,
"ISL","Iceland","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,84.037,,
"ITA","Italy","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,43.812,,
"OECDE","OECD - Europe","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,44.304,,
"ISR","Israel","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,36.74,,
"LUX","Luxembourg","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,69.176,,
"OECD","OECD - Total","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,49.642,"E; I","Estimated value; Incomplete data"
"NLD","Netherlands","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,31.859,,
"SVK","Slovak Republic","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,55.156,,
"AUT","Austria","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,59.068,,
"HUN","Hungary","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,43.697,,
"DNK","Denmark","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,49.774,,
"LVA","Latvia","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,21.614,,
"LTU","Lithuania","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,91.932,,
"GRC","Greece","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,12.14,,
"DNK","Denmark","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,82.574,,
"NZL","New Zealand","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,116.125,,
"IRL","Ireland","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,71.475,,
"DEU","Germany","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,44.385,,
"CAN","Canada","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,33.904,,
"SWE","Sweden","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,59.226,,
"POL","Poland","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,91.211,,
"PRT","Portugal","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,15.32,,
"NLD","Netherlands","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,54.257,,
"BEL","Belgium","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,46.869,,
"ESP","Spain","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,51.092,,
"SVN","Slovenia","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,57.032,,
"USA","United States","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,55.397,,
"IRL","Ireland","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,8.436,,
"EST","Estonia","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,70.852,,
"FRA","France","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,42.025,,
"GRC","Greece","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,46.428,,
"LTU","Lithuania","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,139.587,,
"LVA","Latvia","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",35.334,,
"CAN","Canada","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,137.322,,
"DEU","Germany","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,68.042,,
"CHE","Switzerland","PM2-5","Particulates (PM2.5)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,59.891,,
"CZE","Czech Republic","SOX","Sulphur Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,41.417,,
"LVA","Latvia","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,20.876,,
"LTU","Lithuania","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",63.83,,
"TUR","Turkey","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,18.22,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,41.023,,
"LVA","Latvia","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",88.16,,
"LVA","Latvia","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",77.63,,
